pdf,ordem,titulo,arquivo,caracteres
ALCEU VALENÇA - ELBA RAMALHO - ZÉ RAMALHO.pdf,1,ANUNCIAÇÃO,ALCEU VALENCA - ELBA RAMALHO - ZE RAMALHO/001 - ANUNCIACAO.txt,2441
ALCEU VALENÇA - ELBA RAMALHO - ZÉ RAMALHO.pdf,2,LA BELLE DE JOUR,ALCEU VALENCA - ELBA RAMALHO - ZE RAMALHO/002 - LA BELLE DE JOUR.txt,1446
ALCEU VALENÇA - ELBA RAMALHO - ZÉ RAMALHO.pdf,3,GIRASSOL,ALCEU VALENCA - ELBA RAMALHO - ZE RAMALHO/003 - GIRASSOL.txt,1426
ALCEU VALENÇA - ELBA RAMALHO - ZÉ RAMALHO.pdf,4,MORENA TROPICANA,ALCEU VALENCA - ELBA RAMALHO - ZE RAMALHO/004 - MORENA TROPICANA.txt,2898
ALCEU VALENÇA - ELBA RAMALHO - ZÉ RAMALHO.pdf,5,AI QUE SAUDADE D’OCÊ,ALCEU VALENCA - ELBA RAMALHO - ZE RAMALHO/005 - AI QUE SAUDADE D’OCE.txt,2070
ALCEU VALENÇA - ELBA RAMALHO - ZÉ RAMALHO.pdf,6,BANHO DE CHEIO,ALCEU VALENCA - ELBA RAMALHO - ZE RAMALHO/006 - BANHO DE CHEIO.txt,949
ALCEU VALENÇA - ELBA RAMALHO - ZÉ RAMALHO.pdf,7,ENTRE A SERPENTE E A ESTRELA,ALCEU VALENCA - ELBA RAMALHO - ZE RAMALHO/007 - ENTRE A SERPENTE E A ESTRELA.txt,1833
BEATTLES.pdf,1,HEY JUDE,BEATTLES/001 - HEY JUDE.txt,1734
BEATTLES.pdf,2,OB-LA-DI OB-LA-DA,BEATTLES/002 - OB-LA-DI OB-LA-DA.txt,2770
BEATTLES.pdf,3,TWIST AND SHOUT –BEATTLES,BEATTLES/003 - TWIST AND SHOUT -BEATTLES.txt,2590
BREGA (1)(1).pdf,1,SE AINDA EXISTE AMOR,BREGA (1)(1)/001 - SE AINDA EXISTE AMOR.txt,1873
BREGA (1)(1).pdf,2,NÃO QUERO FALAR COM ELA,BREGA (1)(1)/002 - NAO QUERO FALAR COM ELA.txt,1289
BREGA (1)(1).pdf,3,MEU EX-AMOR,BREGA (1)(1)/003 - MEU EX-AMOR.txt,1008
