id;instrumento;acorde;acorde_enarmonico;tonica;tonica_pt;qualidade;formula_intervalar;variacao;afinacao_grave_para_agudo;casas_grave_para_agudo;dedos_grave_para_agudo;notas_resultantes;casa_inicial;pestana;cordas_abafadas;cordas_soltas;baixo;dificuldade;observacoes;fonte
ukulele-C-1;ukulele;C;;C;Dó;maior;1 3 5;1;G-C-E-A;X-0-0-10;X-0-0-1;X-C-E-G;10;não;1;2,3;C;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C-2;ukulele;C;;C;Dó;maior;1 3 5;2;G-C-E-A;0-0-0-3;0-0-0-1;G-C-E-C;3;não;;1,2,3;G;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C-3;ukulele;C;;C;Dó;maior;1 3 5;3;G-C-E-A;0-0-0-X;0-0-0-X;G-C-E-X;0;não;4;1,2,3;G;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm-1;ukulele;Cm;;C;Dó;menor;1 b3 5;1;G-C-E-A;5-3-3-3;2-1-1-1;C-D#-G-C;3;"sim; dedo 1 na casa 3, cordas 2 a 4";;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm-2;ukulele;Cm;;C;Dó;menor;1 b3 5;2;G-C-E-A;0-3-3-3;0-1-1-1;G-D#-G-C;3;"sim; dedo 1 na casa 3, cordas 2 a 4";;1;G;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cm-3;ukulele;Cm;;C;Dó;menor;1 b3 5;3;G-C-E-A;5-0-3-6;2-0-1-3;C-C-G-D#;3;não;;2;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C7-1;ukulele;C7;;C;Dó;sétima dominante;1 3 5 b7;1;G-C-E-A;0-0-0-1;0-0-0-1;G-C-E-A#;1;não;;1,2,3;G;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C7-2;ukulele;C7;;C;Dó;sétima dominante;1 3 5 b7;2;G-C-E-A;5-7-6-7;1-3-2-4;C-G-A#-E;5;não;;;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-C7-3;ukulele;C7;;C;Dó;sétima dominante;1 3 5 b7;3;G-C-E-A;0-0-6-7;0-0-1-2;G-C-A#-E;6;não;;1,2;G;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
ukulele-Cmaj7-1;ukulele;Cmaj7;;C;Dó;sétima maior;1 3 5 7;1;G-C-E-A;0-0-0-2;0-0-0-1;G-C-E-B;2;não;;1,2,3;G;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
