id;instrumento;acorde;acorde_enarmonico;tonica;tonica_pt;qualidade;formula_intervalar;variacao;afinacao_grave_para_agudo;casas_grave_para_agudo;dedos_grave_para_agudo;notas_resultantes;casa_inicial;pestana;cordas_abafadas;cordas_soltas;baixo;dificuldade;observacoes;fonte
violao-C-1;violao;C;;C;Dó;maior;1 3 5;1;E-A-D-G-B-E;8-7-X-0-8-0;2-1-X-0-3-0;C-E-X-G-G-E;7;não;3;4,6;C;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-C-2;violao;C;;C;Dó;maior;1 3 5;2;E-A-D-G-B-E;X-3-2-0-1-0;X-3-2-0-1-0;X-C-E-G-C-E;1;não;1;4,6;C;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-C-3;violao;C;;C;Dó;maior;1 3 5;3;E-A-D-G-B-E;8-10-10-0-8-0;1-2-3-0-1-0;C-G-C-G-G-E;8;"sim; dedo 1 na casa 8, cordas 1 a 5";;4,6;C;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-Cm-1;violao;Cm;;C;Dó;menor;1 b3 5;1;E-A-D-G-B-E;X-3-1-0-1-3;X-2-1-0-1-3;X-C-D#-G-C-G;1;"sim; dedo 1 na casa 1, cordas 3 a 5";1;4;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-Cm-2;violao;Cm;;C;Dó;menor;1 b3 5;2;E-A-D-G-B-E;X-3-5-0-4-3;X-1-3-0-2-1;X-C-G-G-D#-G;3;"sim; dedo 1 na casa 3, cordas 2 a 6";1;4;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-Cm-3;violao;Cm;;C;Dó;menor;1 b3 5;3;E-A-D-G-B-E;X-3-X-0-4-3;X-1-X-0-2-1;X-C-X-G-D#-G;3;"sim; dedo 1 na casa 3, cordas 2 a 6";1,3;4;C;intermediário;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-C7-1;violao;C7;;C;Dó;sétima dominante;1 3 5 b7;1;E-A-D-G-B-E;8-7-8-0-8-0;2-1-3-0-4-0;C-E-A#-G-G-E;7;não;;4,6;C;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-C7-2;violao;C7;;C;Dó;sétima dominante;1 3 5 b7;2;E-A-D-G-B-E;8-X-8-0-8-0;1-X-1-0-1-0;C-X-A#-G-G-E;8;"sim; dedo 1 na casa 8, cordas 1 a 5";2;4,6;C;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-C7-3;violao;C7;;C;Dó;sétima dominante;1 3 5 b7;3;E-A-D-G-B-E;8-7-8-0-8-8;2-1-3-0-4-4;C-E-A#-G-G-C;7;não;;4;C;avançado;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-Cmaj7-1;violao;Cmaj7;;C;Dó;sétima maior;1 3 5 7;1;E-A-D-G-B-E;X-3-2-0-0-0;X-2-1-0-0-0;X-C-E-G-B-E;2;não;1;4,5,6;C;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-Cmaj7-2;violao;Cmaj7;;C;Dó;sétima maior;1 3 5 7;2;E-A-D-G-B-E;X-3-X-0-0-0;X-1-X-0-0-0;X-C-X-G-B-E;3;não;1,3;4,5,6;C;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
violao-Cmaj7-3;violao;Cmaj7;;C;Dó;sétima maior;1 3 5 7;3;E-A-D-G-B-E;X-3-2-0-0-3;X-2-1-0-0-3;X-C-E-G-B-G;2;não;1;4,5;C;iniciante;"Numeração das cordas no CSV segue a ordem grave→agudo. X=abafada; 0=solta.";Dicionário anexado e voicings normalizados/gerados a partir da afinação padrão.
